Season,Player
2021-22,Nikola Jokić
2020-21,Nikola Jokić
2019-20,Giannis Antetokounmpo
2018-19,Giannis Antetokounmpo
2017-18,James Harden
2016-17,Russell Westbrook
2015-16,Stephen Curry
2014-15,Stephen Curry
2013-14,Kevin Durant
2012-13,LeBron James
2011-12,LeBron James
2010-11,Derrick Rose
2009-10,LeBron James
2008-09,LeBron James
2007-08,Kobe Bryant
2006-07,Dirk Nowitzki
2005-06,Steve Nash
2004-05,Steve Nash
2003-04,Kevin Garnett
2002-03,Tim Duncan
2001-02,Tim Duncan
2000-01,Allen Iverson
1999-00,Shaquille O'Neal
1998-99,Karl Malone
1997-98,Michael Jordan
